Date,Price,Open,High,Low,Vol.,Change %
"Jul 10, 2018","28,653.00","28,721.00","29,013.00","28,560.00",227.88K,-0.25%
"Jul 09, 2018","28,725.00","28,190.00","28,849.00","28,089.00",220.22K,1.79%
"Jul 06, 2018","28,220.00","28,193.00","28,493.00","27,820.00",305.85K,0.08%
"Jul 05, 2018","28,197.00","28,047.00","28,260.00","27,720.00",253.64K,0.54%
"Jul 04, 2018","28,046.00","28,335.00","28,487.00","27,928.00",240.71K,-0.96%
"Jul 03, 2018","28,317.00","28,713.00","28,755.00","27,775.00",305.87K,-1.42%
"Jun 29, 2018","28,726.00","28,254.00","28,765.00","28,118.00",228.14K,1.14%
"Jun 28, 2018","28,401.00","28,380.00","28,700.00","28,302.00",45.17K,0.10%
"Jun 27, 2018","28,372.00","28,952.00","29,047.00","28,275.00",231.06K,-1.98%
"Jun 26, 2018","28,945.00","28,977.00","29,033.00","28,476.00",324.74K,-0.03%
"Jun 25, 2018","28,953.00","29,341.00","29,453.00","28,864.00",266.57K,-1.30%
"Jun 22, 2018","29,335.00","29,265.00","29,427.00","29,007.00",262.12K,0.13%
"Jun 21, 2018","29,296.00","29,713.00","29,860.00","29,234.00",270.06K,-1.24%
"Jun 20, 2018","29,665.00","29,407.00","29,969.00","29,304.00",278.61K,1.00%
"Jun 19, 2018","29,371.00","30,260.00","30,295.00","29,267.00",269.26K,-2.93%
"Jun 15, 2018","30,259.00","30,431.00","30,576.00","30,220.00",199.77K,-0.50%
"Jun 14, 2018","30,412.00","30,750.00","30,824.00","30,270.00",212.27K,-1.08%
"Jun 13, 2018","30,743.00","31,040.00","31,045.00","30,637.00",167.08K,-0.96%
"Jun 12, 2018","31,042.00","31,043.00","31,237.00","30,873.00",191.08K,0.00%
"Jun 11, 2018","31,043.00","30,846.00","31,120.00","30,818.00",175.75K,0.66%
"Jun 08, 2018","30,840.00","31,510.00","31,513.00","30,798.00",201.30K,-2.20%
"Jun 07, 2018","31,535.00","31,223.00","31,544.00","31,154.00",182.87K,1.07%
"Jun 06, 2018","31,201.00","31,083.00","31,277.00","30,946.00",186.80K,0.44%
"Jun 05, 2018","31,063.00","30,908.00","31,163.00","30,812.00",191.28K,0.53%
"Jun 04, 2018","30,899.00","30,377.00","30,950.00","30,364.00",183.54K,1.66%
"Jun 01, 2018","30,395.00","30,495.00","30,495.00","30,239.00",208.27K,-0.33%
"May 31, 2018","30,497.00","29,871.00","30,513.00","29,847.00",208.07K,1.47%
"May 30, 2018","30,055.00","30,416.00","30,486.00","29,982.00",40.19K,-1.21%
"May 29, 2018","30,424.00","30,644.00","30,711.00","30,418.00",134.07K,-1.09%
"May 28, 2018","30,760.00","30,655.00","30,858.00","30,485.00",205.58K,0.38%
"May 25, 2018","30,644.00","30,701.00","30,762.00","30,376.00",242.84K,-0.18%
"May 24, 2018","30,699.00","30,551.00","30,768.00","30,485.00",210.12K,0.50%
"May 23, 2018","30,545.00","31,227.00","31,288.00","30,522.00",205.11K,-2.18%
"May 21, 2018","31,226.00","30,908.00","31,407.00","30,747.00",185.74K,1.07%
"May 18, 2018","30,896.00","30,862.00","31,077.00","30,782.00",185.58K,0.05%
"May 17, 2018","30,880.00","30,917.00","31,320.00","30,817.00",202.80K,-0.17%
"May 16, 2018","30,934.00","30,996.00","31,085.00","30,641.00",226.15K,-0.18%
"May 15, 2018","30,990.00","31,472.00","31,499.00","30,958.00",182.41K,-1.48%
"May 14, 2018","31,456.00","31,083.00","31,475.00","31,037.00",186.05K,1.16%
"May 11, 2018","31,094.00","30,680.00","31,143.00","30,626.00",210.60K,1.35%
"May 10, 2018","30,680.00","30,420.00","30,700.00","30,296.00",201.51K,0.86%
"May 09, 2018","30,418.00","30,197.00","30,420.00","30,022.00",226.97K,0.72%
"May 08, 2018","30,202.00","29,754.00","30,265.00","29,679.00",209.30K,1.50%
"May 07, 2018","29,757.00","29,759.00","30,046.00","29,575.00",252.23K,-0.08%
"May 04, 2018","29,780.00","30,076.00","30,169.00","29,644.00",268.16K,-0.92%
"May 03, 2018","30,056.00","30,567.00","30,589.00","29,901.00",239.02K,-1.63%
"May 02, 2018","30,555.00","30,674.00","30,696.00","30,392.00",202.71K,-0.36%
"Apr 30, 2018","30,665.00","30,042.00","30,724.00","30,017.00",153.44K,1.71%
"Apr 27, 2018","30,150.00","30,044.00","30,310.00","30,030.00",28.98K,0.38%
"Apr 26, 2018","30,037.00","30,185.00","30,455.00","29,837.00",219.81K,-0.47%
"Apr 25, 2018","30,179.00","30,642.00","30,782.00","30,179.00",291.45K,-1.49%
"Apr 24, 2018","30,637.00","30,238.00","30,700.00","30,165.00",276.68K,1.30%
"Apr 23, 2018","30,243.00","30,368.00","30,502.00","30,145.00",247.55K,-0.38%
"Apr 20, 2018","30,358.00","30,756.00","30,879.00","30,317.00",242.03K,-1.30%
"Apr 19, 2018","30,758.00","30,329.00","30,791.00","30,214.00",234.08K,1.47%
"Apr 18, 2018","30,313.00","30,060.00","30,509.00","29,955.00",254.19K,0.86%
"Apr 17, 2018","30,055.00","30,189.00","30,527.00","29,992.00",235.25K,-0.41%
"Apr 16, 2018","30,180.00","30,876.00","31,000.00","30,158.00",218.86K,-2.23%
"Apr 13, 2018","30,867.00","30,748.00","31,080.00","30,706.00",174.33K,0.33%
"Apr 12, 2018","30,767.00","30,897.00","31,151.00","30,605.00",213.28K,-0.40%
"Apr 11, 2018","30,891.00","30,743.00","31,000.00","30,624.00",187.28K,0.42%
"Apr 10, 2018","30,761.00","30,260.00","30,816.00","30,061.00",219.63K,1.58%
"Apr 09, 2018","30,283.00","29,848.00","30,580.00","29,752.00",219.31K,1.49%
"Apr 06, 2018","29,837.00","29,388.00","29,977.00","29,147.00",209.11K,1.47%
"Apr 04, 2018","29,405.00","30,136.00","30,315.00","29,343.00",225.25K,-2.48%
"Apr 03, 2018","30,152.00","30,060.00","30,318.00","29,750.00",194.48K,0.34%
"Mar 29, 2018","30,050.00","29,933.00","30,233.00","29,752.00",227.11K,-0.95%
"Mar 28, 2018","30,338.00","30,792.00","30,855.00","30,307.00",36.77K,-1.43%
"Mar 27, 2018","30,779.00","30,522.00","30,949.00","30,254.00",202.64K,0.81%
"Mar 26, 2018","30,532.00","30,120.00","30,577.00","29,938.00",266.17K,1.28%
"Mar 23, 2018","30,147.00","31,022.00","31,022.00","29,856.00",298.49K,-2.91%
"Mar 22, 2018","31,051.00","31,372.00","31,704.00","30,989.00",210.05K,-0.97%
"Mar 21, 2018","31,355.00","31,525.00","32,005.00","31,336.00",202.23K,-0.61%
"Mar 20, 2018","31,548.00","31,402.00","31,587.00","31,111.00",175.29K,0.49%
"Mar 19, 2018","31,393.00","31,467.00","31,677.00","31,209.00",144.72K,-0.18%
"Mar 16, 2018","31,450.00","31,560.00","31,654.00","31,268.00",156.30K,-0.27%
"Mar 15, 2018","31,535.00","31,461.00","31,620.00","31,051.00",175.99K,0.26%
"Mar 14, 2018","31,453.00","31,615.00","31,695.00","31,112.00",167.17K,-0.42%
"Mar 13, 2018","31,586.00","31,591.00","31,714.00","31,442.00",138.43K,-0.03%
"Mar 12, 2018","31,594.00","30,991.00","31,640.00","30,958.00",149.60K,1.93%
"Mar 09, 2018","30,996.00","30,671.00","31,044.00","30,620.00",143.31K,1.09%
"Mar 08, 2018","30,661.00","30,188.00","30,741.00","30,116.00",163.18K,1.52%
"Mar 07, 2018","30,201.00","30,460.00","30,658.00","30,060.00",211.73K,-0.93%
"Mar 06, 2018","30,485.00","29,954.00","30,595.00","29,834.00",178.30K,1.87%
"Mar 05, 2018","29,926.00","30,513.00","30,675.00","29,790.00",221.66K,-1.99%
"Mar 02, 2018","30,534.00","31,003.00","31,003.00","30,428.00",185.72K,-1.59%
"Mar 01, 2018","31,028.00","30,788.00","31,083.00","30,357.00",196.47K,0.96%
"Feb 28, 2018","30,732.00","31,388.00","31,435.00","30,662.00",179.40K,-2.30%
"Feb 27, 2018","31,457.00","31,520.00","31,775.00","31,447.00",30.21K,-0.18%
"Feb 26, 2018","31,514.00","31,170.00","31,552.00","31,133.00",149.07K,1.08%
"Feb 23, 2018","31,177.00","30,944.00","31,371.00","30,907.00",191.54K,0.73%
"Feb 22, 2018","30,950.00","31,339.00","31,518.00","30,887.00",166.15K,-1.33%
"Feb 21, 2018","31,367.00","30,747.00","31,392.00","30,607.00",130.76K,1.99%
"Feb 20, 2018","30,754.00","31,187.00","31,279.00","30,608.00",136.89K,-0.68%
"Feb 15, 2018","30,965.00","30,304.00","31,036.00","29,955.00",105.25K,2.19%
"Feb 14, 2018","30,301.00","29,700.00","30,585.00","29,517.00",155.13K,2.06%
"Feb 13, 2018","29,690.00","29,483.00","30,089.00","29,380.00",178.43K,0.91%
"Feb 12, 2018","29,422.00","29,332.00","29,709.00","29,000.00",180.69K,0.32%
"Feb 09, 2018","29,329.00","30,375.00","30,426.00","29,070.00",239.53K,-3.38%
"Feb 08, 2018","30,354.00","30,155.00","30,813.00","30,111.00",241.29K,0.53%
"Feb 07, 2018","30,194.00","30,773.00","31,377.00","30,067.00",310.29K,-1.70%
"Feb 06, 2018","30,715.00","32,066.00","32,204.00","30,487.00",322.51K,-4.11%
"Feb 05, 2018","32,033.00","32,498.00","32,498.00","31,635.00",237.89K,-1.46%
